Hospital_ID,Hospital_Name,State,City,Hospital_Type,Beds,Rating,Contact,Email,Pincode,Accredited
HOS0059,City Hospital 59,Maharashtra,Delhi,Government,238,4.2,9317284081,h58@hospital.com,810373,Yes
HOS0060,City Hospital 60,Telangana,Hyderabad,Government,423,3.7,9746821605,h59@hospital.com,981090,No
HOS0061,City Hospital 61,Delhi,Delhi,Government,619,3.3,9782059471,h60@hospital.com,202090,Yes
HOS0062,City Hospital 62,Telangana,Hyderabad,Government,74,3.1,9941285710,h61@hospital.com,682867,Yes
HOS0063,City Hospital 63,Tamil Nadu,Hyderabad,Government,459,4.5,9962678426,h62@hospital.com,691007,Yes
HOS0064,City Hospital 64,Delhi,Pune,Private,875,3.8,9277658549,h63@hospital.com,841538,No
HOS0065,City Hospital 65,Uttar Pradesh,Pune,Private,616,4.2,9129236527,h64@hospital.com,145345,Yes
HOS0066,City Hospital 66,Uttar Pradesh,Delhi,Government,416,4.5,9817266143,h65@hospital.com,511124,No
HOS0067,City Hospital 67,West Bengal,Hyderabad,Private,597,3.5,9696969921,h66@hospital.com,199158,Yes
HOS0068,City Hospital 68,Gujarat,Pune,Private,109,3.6,9419077439,h67@hospital.com,604068,Yes
HOS0069,City Hospital 69,Tamil Nadu,Delhi,Private,405,4.1,9156150091,h68@hospital.com,564719,Yes
HOS0070,City Hospital 70,Telangana,Delhi,Government,774,3.7,9357431872,h69@hospital.com,766253,Yes
HOS0071,City Hospital 71,Uttar Pradesh,Pune,Government,147,4.7,9991804592,h70@hospital.com,605211,Yes
HOS0072,City Hospital 72,Delhi,Pune,Government,488,3.7,9682042476,h71@hospital.com,715009,No
HOS0073,City Hospital 73,Delhi,Pune,Private,126,4.4,9673049452,h72@hospital.com,318203,Yes
HOS0074,City Hospital 74,Gujarat,Delhi,Government,722,4.8,9982929346,h73@hospital.com,536800,Yes
HOS0075,City Hospital 75,Delhi,Delhi,Government,596,3.4,9349871008,h74@hospital.com,804101,No
HOS0076,City Hospital 76,Tamil Nadu,Delhi,Government,226,4.5,9465274576,h75@hospital.com,807431,No
HOS0077,City Hospital 77,Uttar Pradesh,Hyderabad,Private,861,5.0,9763576317,h76@hospital.com,147945,Yes
HOS0078,City Hospital 78,Maharashtra,Hyderabad,Private,955,4.3,9157134516,h77@hospital.com,728287,Yes
HOS0079,City Hospital 79,Tamil Nadu,Delhi,Private,563,4.9,9124273071,h78@hospital.com,291042,Yes
HOS0080,City Hospital 80,Maharashtra,Pune,Government,577,3.3,9527278799,h79@hospital.com,330763,No
HOS0081,City Hospital 81,Delhi,Pune,Private,193,3.8,9304668664,h80@hospital.com,351732,No
HOS0082,City Hospital 82,Telangana,Pune,Private,941,4.6,9520396084,h81@hospital.com,475787,No
HOS0083,City Hospital 83,Tamil Nadu,Delhi,Government,72,3.3,9882774316,h82@hospital.com,712944,Yes
HOS0084,City Hospital 84,Gujarat,Hyderabad,Government,173,4.9,9372582612,h83@hospital.com,955287,No
HOS0085,City Hospital 85,Tamil Nadu,Hyderabad,Private,226,4.9,9300202198,h84@hospital.com,472288,Yes
HOS0086,City Hospital 86,Uttar Pradesh,Hyderabad,Government,875,4.9,9464293463,h85@hospital.com,757206,No
HOS0087,City Hospital 87,Gujarat,Delhi,Government,169,4.9,9306580879,h86@hospital.com,514080,Yes
HOS0088,City Hospital 88,Karnataka,Pune,Private,803,3.1,9479719832,h87@hospital.com,238009,No
HOS0089,City Hospital 89,Gujarat,Pune,Private,285,3.0,9724858341,h88@hospital.com,553499,No
HOS0090,City Hospital 90,Delhi,Pune,Private,551,4.9,9785175450,h89@hospital.com,128555,No
HOS0091,City Hospital 91,West Bengal,Pune,Private,872,3.7,9958124314,h90@hospital.com,946352,No
HOS0092,City Hospital 92,Delhi,Pune,Government,924,4.6,9774726441,h91@hospital.com,177299,Yes
HOS0093,City Hospital 93,Gujarat,Hyderabad,Private,542,4.9,9364500227,h92@hospital.com,283771,No
HOS0094,City Hospital 94,West Bengal,Hyderabad,Government,151,4.3,9578768692,h93@hospital.com,123073,Yes
HOS0095,City Hospital 95,Uttar Pradesh,Delhi,Government,854,4.9,9650825986,h94@hospital.com,752737,No
HOS0096,City Hospital 96,Karnataka,Delhi,Private,419,4.1,9429260295,h95@hospital.com,983225,Yes
HOS0097,City Hospital 97,Karnataka,Pune,Government,717,4.5,9823378983,h96@hospital.com,610974,No
HOS0098,City Hospital 98,Maharashtra,Pune,Private,606,3.9,9746577904,h97@hospital.com,143089,Yes
HOS0099,City Hospital 99,Uttar Pradesh,Delhi,Government,198,4.4,9622336168,h98@hospital.com,903787,Yes
HOS0100,City Hospital 100,Karnataka,Pune,Government,209,3.4,9962469801,h99@hospital.com,881569,Yes
HOS0101,City Hospital 101,Telangana,Delhi,Private,507,3.8,9351898711,h100@hospital.com,621993,Yes
HOS0102,City Hospital 102,Karnataka,Delhi,Government,219,4.9,9246111407,h101@hospital.com,948855,Yes
HOS0103,City Hospital 103,Maharashtra,Delhi,Private,541,4.1,9389298951,h102@hospital.com,963567,No
HOS0104,City Hospital 104,Karnataka,Hyderabad,Government,325,3.1,9528775997,h103@hospital.com,256866,No
HOS0105,City Hospital 105,Uttar Pradesh,Hyderabad,Private,303,4.0,9903234227,h104@hospital.com,434534,No
HOS0106,City Hospital 106,Delhi,Delhi,Government,758,3.9,9426728752,h105@hospital.com,565275,No
HOS0107,City Hospital 107,Tamil Nadu,Pune,Government,113,4.7,9533197036,h106@hospital.com,620785,Yes
HOS0108,City Hospital 108,Telangana,Delhi,Government,324,3.1,9463542462,h107@hospital.com,823920,No
HOS0109,City Hospital 109,Maharashtra,Hyderabad,Private,735,3.5,9429468135,h108@hospital.com,754197,No
HOS0110,City Hospital 110,Maharashtra,Hyderabad,Private,442,4.2,9186061428,h109@hospital.com,642348,No
HOS0111,City Hospital 111,Telangana,Hyderabad,Government,328,4.8,9698887080,h110@hospital.com,931081,Yes
HOS0112,City Hospital 112,Tamil Nadu,Delhi,Government,654,3.1,9487377849,h111@hospital.com,247532,No
HOS0113,City Hospital 113,West Bengal,Hyderabad,Government,637,3.4,9676062901,h112@hospital.com,751041,No
HOS0114,City Hospital 114,Tamil Nadu,Delhi,Government,843,3.9,9178271880,h113@hospital.com,384348,No
HOS0115,City Hospital 115,Delhi,Pune,Government,174,3.6,9867692363,h114@hospital.com,747623,No
HOS0116,City Hospital 116,Delhi,Delhi,Private,999,3.7,9888109622,h115@hospital.com,171093,No
HOS0117,City Hospital 117,West Bengal,Delhi,Private,218,3.6,9946716840,h116@hospital.com,684793,Yes
HOS0118,City Hospital 118,Tamil Nadu,Hyderabad,Private,168,3.9,9547206534,h117@hospital.com,764296,No
HOS0119,City Hospital 119,Uttar Pradesh,Hyderabad,Private,705,4.8,9844768044,h118@hospital.com,908174,Yes
HOS0120,City Hospital 120,Telangana,Hyderabad,Government,742,4.7,9651094745,h119@hospital.com,887455,No
HOS0121,City Hospital 121,Gujarat,Pune,Government,427,4.2,9555662368,h120@hospital.com,544906,No
HOS0122,City Hospital 122,Tamil Nadu,Delhi,Private,1000,4.3,9151806139,h121@hospital.com,907700,Yes
HOS0123,City Hospital 123,Maharashtra,Delhi,Private,837,3.7,9419432431,h122@hospital.com,504215,No
HOS0124,City Hospital 124,Uttar Pradesh,Pune,Private,734,3.7,9725324828,h123@hospital.com,948105,Yes
HOS0125,City Hospital 125,Karnataka,Pune,Government,880,3.1,9688499145,h124@hospital.com,641066,No
HOS0126,City Hospital 126,Telangana,Delhi,Government,764,4.1,9167590829,h125@hospital.com,211552,Yes
HOS0127,City Hospital 127,Maharashtra,Delhi,Private,256,4.3,9163779879,h126@hospital.com,878791,Yes
HOS0128,City Hospital 128,Karnataka,Delhi,Government,547,4.6,9553347469,h127@hospital.com,645885,Yes
HOS0129,City Hospital 129,Maharashtra,Hyderabad,Private,918,5.0,9679194106,h128@hospital.com,458691,Yes
HOS0130,City Hospital 130,Tamil Nadu,Delhi,Government,254,3.8,9528305130,h129@hospital.com,670812,Yes
HOS0131,City Hospital 131,Tamil Nadu,Pune,Private,147,3.0,9226447836,h130@hospital.com,427796,No
HOS0132,City Hospital 132,Maharashtra,Delhi,Private,834,3.3,9898077114,h131@hospital.com,150409,No
HOS0133,City Hospital 133,Telangana,Delhi,Private,258,3.2,9741437503,h132@hospital.com,656731,No
HOS0134,City Hospital 134,Telangana,Hyderabad,Private,81,3.9,9447965408,h133@hospital.com,211159,Yes
HOS0135,City Hospital 135,West Bengal,Hyderabad,Government,78,4.6,9824700981,h134@hospital.com,459119,No
HOS0136,City Hospital 136,Delhi,Delhi,Government,836,4.7,9142538158,h135@hospital.com,187887,Yes
HOS0137,City Hospital 137,West Bengal,Delhi,Private,184,4.5,9352215861,h136@hospital.com,439251,Yes
HOS0138,City Hospital 138,Uttar Pradesh,Pune,Government,537,5.0,9913773566,h137@hospital.com,948551,No
HOS0139,City Hospital 139,Gujarat,Pune,Government,433,3.6,9833076523,h138@hospital.com,303003,Yes
HOS0140,City Hospital 140,Uttar Pradesh,Delhi,Private,108,3.3,9531083141,h139@hospital.com,607528,Yes
HOS0141,City Hospital 141,Karnataka,Pune,Government,107,3.5,9283579690,h140@hospital.com,470060,No
HOS0142,City Hospital 142,Karnataka,Pune,Government,748,4.1,9526193450,h141@hospital.com,784683,No
HOS0143,City Hospital 143,Delhi,Delhi,Government,840,3.7,9193129114,h142@hospital.com,433130,Yes
HOS0144,City Hospital 144,Delhi,Hyderabad,Private,269,3.1,9145539993,h143@hospital.com,910358,No
HOS0145,City Hospital 145,Telangana,Delhi,Private,357,4.2,9287177443,h144@hospital.com,604618,Yes
HOS0146,City Hospital 146,Telangana,Pune,Private,430,4.9,9226461950,h145@hospital.com,293049,Yes
HOS0147,City Hospital 147,Delhi,Hyderabad,Government,342,4.2,9748892872,h146@hospital.com,306592,No
HOS0148,City Hospital 148,Telangana,Delhi,Government,475,3.7,9372143472,h147@hospital.com,338885,Yes
HOS0149,City Hospital 149,Uttar Pradesh,Hyderabad,Private,619,4.6,9125182230,h148@hospital.com,394694,No
HOS0150,City Hospital 150,Maharashtra,Pune,Private,180,3.8,9862559499,h149@hospital.com,797402,No
HOS0151,City Hospital 151,Delhi,Delhi,Private,591,3.8,9508894329,h150@hospital.com,972806,Yes
HOS0152,City Hospital 152,Gujarat,Pune,Government,270,4.5,9241833258,h151@hospital.com,824253,Yes
HOS0153,City Hospital 153,Telangana,Hyderabad,Private,973,4.5,9462997588,h152@hospital.com,751702,No
HOS0154,City Hospital 154,Karnataka,Delhi,Government,976,3.6,9803231186,h153@hospital.com,436692,No
HOS0155,City Hospital 155,Karnataka,Delhi,Government,55,4.6,9458819708,h154@hospital.com,166236,No
HOS0156,City Hospital 156,Uttar Pradesh,Hyderabad,Private,537,4.7,9366062236,h155@hospital.com,355222,Yes
HOS0157,City Hospital 157,West Bengal,Delhi,Government,911,3.4,9743017668,h156@hospital.com,129682,Yes
HOS0158,City Hospital 158,Tamil Nadu,Hyderabad,Private,480,3.9,9274579527,h157@hospital.com,891024,No
HOS0159,City Hospital 159,Maharashtra,Hyderabad,Private,85,3.3,9850758574,h158@hospital.com,129639,No
HOS0160,City Hospital 160,Maharashtra,Delhi,Government,659,3.3,9410154760,h159@hospital.com,599543,No
HOS0161,City Hospital 161,West Bengal,Hyderabad,Private,456,4.3,9269390336,h160@hospital.com,636977,Yes
HOS0162,City Hospital 162,Maharashtra,Delhi,Government,987,4.4,9495468489,h161@hospital.com,414540,Yes
HOS0163,City Hospital 163,West Bengal,Hyderabad,Private,919,4.0,9913413424,h162@hospital.com,573289,Yes
HOS0164,City Hospital 164,Delhi,Hyderabad,Private,446,3.8,9982123734,h163@hospital.com,127464,No
HOS0165,City Hospital 165,Tamil Nadu,Pune,Private,827,3.9,9978157759,h164@hospital.com,109312,No
HOS0166,City Hospital 166,Gujarat,Pune,Government,610,3.4,9853502888,h165@hospital.com,797938,No
HOS0167,City Hospital 167,West Bengal,Pune,Private,587,3.1,9641218472,h166@hospital.com,464175,No
HOS0168,City Hospital 168,Telangana,Hyderabad,Government,802,4.6,9861032190,h167@hospital.com,980506,Yes
HOS0169,City Hospital 169,Karnataka,Hyderabad,Private,768,3.5,9179122942,h168@hospital.com,964669,Yes
HOS0170,City Hospital 170,West Bengal,Delhi,Private,202,4.1,9158652476,h169@hospital.com,474366,No
HOS0171,City Hospital 171,Maharashtra,Hyderabad,Government,616,4.6,9629068006,h170@hospital.com,544842,No
HOS0172,City Hospital 172,Uttar Pradesh,Pune,Private,974,4.9,9334725649,h171@hospital.com,139318,No
HOS0173,City Hospital 173,Telangana,Pune,Private,489,4.8,9251640094,h172@hospital.com,731557,No
HOS0174,City Hospital 174,Telangana,Delhi,Government,493,3.0,9435013802,h173@hospital.com,415298,Yes
HOS0175,City Hospital 175,Delhi,Hyderabad,Government,880,4.5,9723798602,h174@hospital.com,975575,No
HOS0176,City Hospital 176,Karnataka,Delhi,Private,154,3.3,9639946084,h175@hospital.com,742388,No
HOS0177,City Hospital 177,West Bengal,Pune,Private,364,4.1,9616134319,h176@hospital.com,417798,No
HOS0178,City Hospital 178,West Bengal,Hyderabad,Government,974,4.2,9966791999,h177@hospital.com,474339,No
HOS0179,City Hospital 179,Maharashtra,Delhi,Government,247,3.2,9308458975,h178@hospital.com,501633,No
HOS0180,City Hospital 180,Tamil Nadu,Pune,Government,411,4.9,9760813116,h179@hospital.com,968735,Yes
HOS0181,City Hospital 181,West Bengal,Pune,Private,576,4.7,9348175494,h180@hospital.com,951657,Yes
HOS0182,City Hospital 182,Telangana,Hyderabad,Private,637,3.8,9159398854,h181@hospital.com,837258,Yes
HOS0183,City Hospital 183,Telangana,Hyderabad,Government,316,4.5,9647672984,h182@hospital.com,835862,No
HOS0184,City Hospital 184,Maharashtra,Pune,Government,718,3.7,9898059128,h183@hospital.com,478124,Yes
HOS0185,City Hospital 185,Maharashtra,Hyderabad,Private,818,3.5,9681080811,h184@hospital.com,966622,Yes
HOS0186,City Hospital 186,Gujarat,Pune,Government,503,4.1,9413636235,h185@hospital.com,799142,Yes
HOS0187,City Hospital 187,Gujarat,Pune,Private,296,4.5,9399948872,h186@hospital.com,985477,No
HOS0188,City Hospital 188,Tamil Nadu,Delhi,Government,687,3.9,9896335475,h187@hospital.com,639505,Yes
HOS0189,City Hospital 189,Tamil Nadu,Delhi,Private,889,5.0,9951236749,h188@hospital.com,181440,No
HOS0190,City Hospital 190,Maharashtra,Pune,Government,808,4.5,9692335598,h189@hospital.com,307158,Yes
HOS0191,City Hospital 191,Telangana,Delhi,Government,424,4.6,9670801864,h190@hospital.com,252551,Yes
HOS0192,City Hospital 192,Karnataka,Delhi,Government,312,3.9,9275861217,h191@hospital.com,151079,No
HOS0193,City Hospital 193,Karnataka,Delhi,Government,496,3.8,9316596995,h192@hospital.com,517035,Yes
HOS0194,City Hospital 194,Delhi,Delhi,Government,804,3.6,9424837205,h193@hospital.com,585894,Yes
HOS0195,City Hospital 195,West Bengal,Pune,Government,825,3.7,9146481957,h194@hospital.com,660530,No
HOS0196,City Hospital 196,Maharashtra,Hyderabad,Private,332,4.2,9468111891,h195@hospital.com,437101,No
HOS0197,City Hospital 197,Maharashtra,Hyderabad,Government,557,4.6,9200926504,h196@hospital.com,614132,No
HOS0198,City Hospital 198,Maharashtra,Hyderabad,Government,181,3.6,9664106434,h197@hospital.com,303972,Yes
HOS0199,City Hospital 199,Uttar Pradesh,Pune,Government,61,4.8,9728589552,h198@hospital.com,329698,No
HOS0200,City Hospital 200,Telangana,Hyderabad,Private,541,3.8,9710241882,h199@hospital.com,398377,No
HOS0201,City Hospital 201,Gujarat,Pune,Government,659,4.2,9297138531,h200@hospital.com,170336,Yes
HOS0202,City Hospital 202,West Bengal,Hyderabad,Government,660,3.9,9946676079,h201@hospital.com,581943,No
HOS0203,City Hospital 203,Telangana,Hyderabad,Private,264,4.6,9229238174,h202@hospital.com,725812,Yes
HOS0204,City Hospital 204,Tamil Nadu,Delhi,Government,143,3.4,9887024927,h203@hospital.com,622106,No
HOS0205,City Hospital 205,Tamil Nadu,Pune,Private,242,3.6,9583741622,h204@hospital.com,892421,No
HOS0206,City Hospital 206,Telangana,Hyderabad,Government,208,4.1,9246983261,h205@hospital.com,941967,Yes
HOS0207,City Hospital 207,Uttar Pradesh,Hyderabad,Government,99,4.5,9554914874,h206@hospital.com,447880,No
HOS0208,City Hospital 208,Tamil Nadu,Hyderabad,Private,75,4.9,9192854045,h207@hospital.com,558753,Yes
HOS0209,City Hospital 209,Gujarat,Pune,Private,552,3.1,9343286138,h208@hospital.com,357791,No
HOS0210,City Hospital 210,Karnataka,Pune,Government,968,4.5,9362901915,h209@hospital.com,748610,No
HOS0211,City Hospital 211,Telangana,Hyderabad,Private,315,4.3,9200385238,h210@hospital.com,499073,No
HOS0212,City Hospital 212,Gujarat,Delhi,Private,641,4.6,9830890442,h211@hospital.com,102854,Yes
HOS0213,City Hospital 213,Delhi,Delhi,Private,652,3.3,9737175202,h212@hospital.com,906105,Yes
HOS0214,City Hospital 214,Telangana,Pune,Government,956,4.3,9621545798,h213@hospital.com,977460,Yes
HOS0215,City Hospital 215,Gujarat,Delhi,Private,982,4.9,9920403249,h214@hospital.com,931796,No
HOS0216,City Hospital 216,Gujarat,Hyderabad,Private,288,4.8,9568476156,h215@hospital.com,211731,No
HOS0217,City Hospital 217,Gujarat,Hyderabad,Government,170,3.7,9560126449,h216@hospital.com,772910,No
HOS0218,City Hospital 218,West Bengal,Pune,Government,988,3.3,9202355651,h217@hospital.com,251728,No
HOS0219,City Hospital 219,Maharashtra,Delhi,Government,651,4.3,9303116264,h218@hospital.com,490925,Yes
HOS0220,City Hospital 220,Maharashtra,Delhi,Government,860,3.3,9576349530,h219@hospital.com,755665,Yes
HOS0221,City Hospital 221,West Bengal,Delhi,Government,321,3.0,9297966777,h220@hospital.com,119528,Yes
HOS0222,City Hospital 222,Karnataka,Delhi,Private,824,3.5,9105369077,h221@hospital.com,151987,No
HOS0223,City Hospital 223,Gujarat,Delhi,Government,932,4.0,9938712177,h222@hospital.com,952238,No
HOS0224,City Hospital 224,Delhi,Hyderabad,Government,253,3.8,9659376138,h223@hospital.com,798768,No
HOS0225,City Hospital 225,Delhi,Hyderabad,Private,796,3.7,9988025770,h224@hospital.com,715916,No
HOS0226,City Hospital 226,Gujarat,Delhi,Private,375,4.1,9313601545,h225@hospital.com,178294,No
HOS0227,City Hospital 227,Tamil Nadu,Delhi,Private,790,4.6,9261229787,h226@hospital.com,626471,No
HOS0228,City Hospital 228,Tamil Nadu,Delhi,Government,358,3.9,9674980613,h227@hospital.com,542287,No
HOS0229,City Hospital 229,West Bengal,Delhi,Private,952,4.0,9235977869,h228@hospital.com,127178,Yes
HOS0230,City Hospital 230,West Bengal,Delhi,Government,840,4.7,9190319439,h229@hospital.com,738518,Yes
HOS0231,City Hospital 231,Maharashtra,Delhi,Government,619,4.3,9321051970,h230@hospital.com,391333,No
HOS0232,City Hospital 232,Delhi,Pune,Government,78,4.6,9670914276,h231@hospital.com,554492,Yes
HOS0233,City Hospital 233,Delhi,Pune,Private,996,4.2,9206285557,h232@hospital.com,654679,No
HOS0234,City Hospital 234,Telangana,Pune,Government,212,4.6,9467872291,h233@hospital.com,523205,Yes
HOS0235,City Hospital 235,Uttar Pradesh,Hyderabad,Government,374,5.0,9293909779,h234@hospital.com,440484,Yes
HOS0236,City Hospital 236,Maharashtra,Delhi,Private,768,4.6,9769372319,h235@hospital.com,358474,No
HOS0237,City Hospital 237,Karnataka,Delhi,Government,994,4.4,9919715394,h236@hospital.com,566084,No
HOS0238,City Hospital 238,Delhi,Pune,Government,436,4.5,9696800778,h237@hospital.com,787208,Yes
HOS0239,City Hospital 239,Uttar Pradesh,Delhi,Government,151,5.0,9943374368,h238@hospital.com,397368,No
HOS0240,City Hospital 240,Karnataka,Pune,Private,155,4.3,9595348338,h239@hospital.com,828803,No
HOS0241,City Hospital 241,Uttar Pradesh,Hyderabad,Government,986,4.0,9572004307,h240@hospital.com,963440,No
HOS0242,City Hospital 242,Uttar Pradesh,Hyderabad,Private,66,3.9,9743516082,h241@hospital.com,289828,No
HOS0243,City Hospital 243,Maharashtra,Delhi,Government,637,4.7,9354960762,h242@hospital.com,525363,Yes
HOS0244,City Hospital 244,West Bengal,Delhi,Government,329,3.1,9921686285,h243@hospital.com,974733,Yes
HOS0245,City Hospital 245,Karnataka,Hyderabad,Private,994,5.0,9935945920,h244@hospital.com,195674,No
HOS0246,City Hospital 246,Tamil Nadu,Hyderabad,Private,192,4.9,9324474651,h245@hospital.com,467506,Yes
HOS0247,City Hospital 247,Tamil Nadu,Delhi,Private,605,4.1,9108943407,h246@hospital.com,934593,Yes
HOS0248,City Hospital 248,Telangana,Pune,Government,100,3.9,9475622075,h247@hospital.com,151105,Yes
HOS0249,City Hospital 249,Uttar Pradesh,Hyderabad,Government,737,4.0,9320889721,h248@hospital.com,176921,Yes
HOS0250,City Hospital 250,Delhi,Delhi,Private,920,4.2,9754649942,h249@hospital.com,437001,Yes
HOS0251,City Hospital 251,West Bengal,Delhi,Private,149,4.6,9301226914,h250@hospital.com,799007,Yes
