Sale_ID,Sale_Date,Product_ID,HCP_ID,Rep_ID,Territory_ID,Quantity,Sales_Amount,Invoice_No,Channel,Discount_Pct,Tax_Amount,Net_Amount,Currency
S0000026,19-11-2025,PRD0375,HCP06791,REP0409,T169,62,152598.14,INV100025,Retail,9.17,4238.9,48737.41,INR
S0000027,25-07-2025,PRD0111,HCP09063,REP0222,T058,11,17174.73,INV100026,Retail,3.45,4560.64,33859.67,INR
S0000028,03-01-2025,PRD0992,HCP09438,REP0292,T140,24,183663.15,INV100027,Distributor,27.7,4942.6,39039.25,INR
S0000029,31-08-2025,PRD0464,HCP02276,REP0033,T088,36,23107.44,INV100028,Retail,25.26,2890.19,192568.56,INR
S0000030,27-11-2025,PRD0649,HCP07618,REP0078,T190,8,132223.57,INV100029,Hospital,11.1,3084.77,20695.39,INR
S0000031,15-02-2025,PRD0974,HCP05212,REP0316,T186,42,83007.56,INV100030,Hospital,1.5,907.38,125014.01,INR
S0000032,10-10-2025,PRD0911,HCP04863,REP0352,T054,62,16801.21,INV100031,Hospital,2.3,4032.27,116690.16,INR
S0000033,27-10-2025,PRD0467,HCP03598,REP0272,T046,33,21181.23,INV100032,Hospital,28.67,2569.58,88902.42,INR
S0000034,22-10-2025,PRD0946,HCP05856,REP0194,T019,82,40041.33,INV100033,Retail,8.61,3795.94,44101.42,INR
S0000035,15-04-2025,PRD0918,HCP05541,REP0415,T188,27,172638.23,INV100034,Retail,8.81,3021.16,65759.44,INR
S0000036,19-12-2025,PRD0707,HCP04917,REP0242,T082,98,109930.5,INV100035,Retail,28.96,4271.07,4803.26,INR
S0000037,07-04-2025,PRD0239,HCP03380,REP0064,T079,13,91251.25,INV100036,Distributor,0.07,3182.61,75962.67,INR
S0000038,07-12-2025,PRD0447,HCP06638,REP0443,T091,36,,INV100037,Hospital,28.03,2995.76,187133.2,INR
S0000039,26-03-2025,PRD0004,HCP08903,REP0203,T066,79,142299.02,INV100038,Retail,25.12,1005.73,79461.32,INR
S0000040,17-01-2025,PRD0119,HCP09344,REP0396,T059,70,182809.94,INV100039,Hospital,22.59,1263.93,68636.86,INR
S0000041,02-07-2025,PRD0455,HCP06348,REP0051,T089,37,159743.4,INV100040,Hospital,14.25,2312.32,83003.35,INR
S0000042,06-05-2025,PRD0310,HCP08267,REP0034,T185,63,156825.25,INV100041,Retail,26.95,3890.92,107052.01,INR
S0000043,02-10-2025,PRD0867,HCP02481,REP0449,T136,91,173891.71,INV100042,Distributor,19.01,68.05,109200.34,INR
S0000044,25-01-2025,PRD0333,HCP02570,REP0488,T055,97,87295.21,INV100043,Distributor,22.93,2472.9,91216.69,INR
S0000045,21-04-2025,PRD0080,HCP05875,REP0051,T188,39,130259.95,INV100044,Retail,21.1,889.09,185740.92,INR
S0000046,08-08-2025,PRD0882,HCP04879,REP0425,T006,89,163957.24,INV100045,Hospital,10.57,2175.54,65324.32,INR
S0000047,11-02-2025,PRD0266,HCP00793,REP0003,T047,36,84592.91,INV100046,Hospital,2.71,2211.72,49435.4,INR
S0000048,21-06-2025,PRD0152,HCP05588,REP0128,T022,73,31400.55,INV100047,Distributor,17.86,4697.66,79771.5,INR
S0000049,29-07-2025,PRD0006,HCP01625,REP0222,T123,67,153262.33,INV100048,Distributor,21.44,2566.55,170605.38,INR
S0000050,28-03-2025,PRD0021,HCP01402,REP0012,T020,78,68167.42,INV100049,Retail,13.53,597.3,5502.31,INR
S0000051,24-02-2025,PRD0755,HCP03565,REP0235,T006,17,172105.15,INV100050,Distributor,5.94,2915.9,29479.37,INR
S0000052,08-12-2025,PRD0080,HCP02730,REP0328,T082,31,22331.04,INV100051,Retail,25.94,2310.95,75609.7,INR
S0000053,13-02-2025,PRD0035,HCP08422,REP0134,T025,49,15354.59,INV100052,Hospital,12.07,444.52,88580.1,INR
S0000054,11-11-2025,PRD0099,HCP02743,REP0060,T028,5,16756.85,INV100053,Distributor,25.9,2360.73,53903.35,INR
S0000055,30-07-2025,PRD0190,HCP06193,REP0432,T121,49,120534.41,INV100054,Retail,10.59,628.28,178874.21,INR
S0000056,04-06-2025,PRD0441,HCP01520,REP0184,T001,4,77645.06,INV100055,Hospital,3.1,3124.3,20880.91,INR
S0000057,27-09-2025,PRD0246,HCP08502,REP0380,T110,86,84250.58,INV100056,Retail,1.32,379.1,164193.56,INR
S0000058,01-10-2025,PRD0273,HCP08971,REP0222,T132,79,21794.19,INV100057,Distributor,16,3051.21,119329.16,INR
S0000059,20-10-2025,PRD0100,HCP06977,REP0223,T012,35,192751.29,INV100058,Distributor,14.41,2867.98,13626.26,INR
S0000060,15-01-2025,PRD0426,HCP05120,REP0155,T150,8,62494.43,INV100059,Hospital,26.45,4812.22,92580.58,INR
S0000061,04-05-2025,PRD0390,HCP00290,REP0241,T126,83,39702.47,INV100060,Distributor,18.5,3319.8,60705.51,INR
S0000062,02-10-2025,PRD0075,HCP05672,REP0474,T039,36,164521.77,INV100061,Retail,12.36,3842.71,56348.23,INR
S0000063,15-08-2025,PRD0192,HCP09179,REP0481,T039,41,95763.6,INV100062,Distributor,12.36,2837.06,32274.6,INR
S0000064,02-06-2025,PRD0133,HCP05008,REP0089,T119,46,19296.64,INV100063,Hospital,15.82,2563.94,121302.89,INR
S0000065,27-10-2025,PRD0097,HCP07474,REP0123,T045,67,176154.48,INV100064,Hospital,29.85,4416.97,7989.86,INR
S0000066,25-09-2025,PRD0589,HCP04590,REP0365,T036,27,26723.46,INV100065,Hospital,15.62,2374.9,164319,INR
S0000067,26-07-2025,PRD0234,HCP04058,REP0148,T143,82,89902.67,INV100066,Distributor,12.64,2029.58,141529.19,INR
S0000068,22-08-2025,PRD0091,HCP02325,REP0048,T174,60,86162.47,INV100067,Distributor,13,3437.62,198555.23,INR
S0000069,30-09-2025,PRD0670,HCP00759,REP0400,T081,48,170612.71,INV100068,Hospital,28.2,2215.53,91199.54,INR
S0000070,04-11-2025,PRD0311,HCP04124,REP0484,T084,40,12865.21,INV100069,Hospital,24.71,951.56,173968.64,INR
S0000071,31-03-2025,PRD0005,HCP00363,REP0223,T172,98,73855.91,INV100070,Retail,9.59,1575.41,147350.99,INR
S0000072,12-04-2025,PRD0053,HCP06927,REP0370,T089,7,74205.52,INV100071,Distributor,19.12,2707.72,40072.51,INR
S0000073,19-01-2025,PRD0477,HCP05317,REP0246,T047,36,13350.92,INV100072,Hospital,14.27,378.52,15532.44,INR
S0000074,03-11-2025,PRD0122,HCP00762,REP0296,T125,15,78525.68,INV100073,Distributor,0.12,988.9,92301.57,INR
S0000075,14-03-2025,PRD0545,HCP07419,REP0049,T078,20,59769.46,INV100074,Distributor,6.87,1580.23,193227.15,INR
S0000076,21-05-2025,PRD0731,HCP03956,REP0431,T175,54,126066.84,INV100075,Retail,23.42,308.63,191876.33,INR
S0000077,22-03-2025,PRD0502,HCP05830,REP0454,T075,24,8579.93,INV100076,Hospital,25.85,4354.42,26604.35,INR
S0000078,30-04-2025,PRD0206,HCP01219,REP0116,T022,18,128888.48,INV100077,Distributor,4.8,417.27,108129.85,INR
S0000079,10-04-2025,PRD0406,HCP00909,REP0464,T143,41,67324.19,INV100078,Retail,8.3,2534.34,37152.31,INR
S0000080,12-12-2025,PRD0926,HCP02499,REP0440,T129,53,54091.12,INV100079,Hospital,13.21,4885.53,170938.77,INR
S0000081,01-01-2025,PRD0903,HCP02240,REP0298,T114,21,137013.8,INV100080,Retail,7.79,393.69,198798.06,INR
S0000082,25-09-2025,PRD0876,HCP04371,REP0349,T047,21,8701.8,INV100081,Retail,14.84,4761.65,7755.23,INR
S0000083,03-10-2025,PRD0546,HCP04195,REP0250,T078,41,72744.5,INV100082,Retail,26.44,4456.63,129881.98,INR
S0000084,03-04-2025,PRD0616,HCP01418,REP0070,T041,98,196424.63,INV100083,Distributor,14.37,4222.42,48897.55,INR
S0000085,04-07-2025,PRD0144,HCP02639,REP0480,T136,59,196330.58,INV100084,Retail,20.44,847.42,47128.76,INR
S0000086,13-03-2025,PRD0659,HCP09387,REP0308,T080,96,82384.51,INV100085,Retail,17.9,563.39,13582.77,INR
S0000087,22-03-2025,PRD0863,HCP01657,REP0239,T189,11,108817.28,INV100086,Hospital,29.72,2033.5,54290.64,INR
S0000088,11-03-2025,PRD0342,HCP04199,REP0198,T115,31,188194.61,INV100087,Distributor,20.48,3726.15,156362.88,INR
S0000089,12-05-2025,PRD0666,HCP08017,REP0099,T162,28,52811.21,INV100088,Retail,15.72,3952.52,86394.37,INR
S0000090,23-09-2025,PRD0635,HCP08445,REP0165,T004,59,121301.04,INV100089,Hospital,15.46,230.85,79660.72,INR
S0000091,01-11-2025,PRD0233,HCP07964,REP0010,T155,27,156824.89,INV100090,Hospital,14.77,3998.42,73917.79,INR
S0000092,12-06-2025,PRD0770,HCP01997,REP0386,T162,75,5735.27,INV100091,Distributor,0.57,173.77,32141.51,INR
S0000093,26-05-2025,PRD0416,HCP07088,REP0380,T150,59,117989.96,INV100092,Distributor,13.82,68.69,57103.24,INR
S0000094,01-01-2025,PRD0681,HCP08293,REP0060,T016,75,149953.61,INV100093,Distributor,25.12,425.01,156771.68,INR
S0000095,21-01-2025,PRD0319,HCP00053,REP0457,T002,9,75223.09,INV100094,Retail,10.85,4673.39,175897.37,INR
S0000096,08-10-2025,PRD0529,HCP02030,REP0017,T137,77,156088.12,INV100095,Hospital,2.69,2761.97,14132.37,INR
S0000097,15-09-2025,PRD0244,HCP07486,REP0418,T097,71,164247.64,INV100096,Hospital,14.58,1149.77,140315.17,INR
S0000098,15-01-2025,PRD0717,HCP06535,REP0061,T089,41,141589.59,INV100097,Distributor,19.53,4274.12,141736.36,INR
S0000099,25-12-2025,PRD0521,HCP06870,REP0471,T198,28,94806.1,INV100098,Distributor,25.55,486,4410.69,INR
S0000100,26-09-2025,PRD0339,HCP03276,REP0052,T037,87,121564.83,INV100099,Retail,4.45,1681.76,193813.61,INR
S0000101,15-01-2025,PRD0195,HCP03694,REP0097,T152,98,69689.79,INV100100,Retail,14.5,2883.6,21572.66,INR
S0000102,08-10-2025,PRD0244,HCP03364,REP0100,T178,28,157533.93,INV100101,Retail,28.51,670.24,54924.03,INR
S0000103,11-07-2025,PRD0855,HCP06755,REP0420,T165,59,180505.38,INV100102,Retail,25.11,3179.61,122399.44,INR
S0000104,13-11-2025,PRD0469,HCP01254,REP0344,T103,60,26760.13,INV100103,Hospital,20.99,3193.15,171209.62,INR
S0000105,05-11-2025,PRD0290,HCP04595,REP0077,T176,72,88690.36,INV100104,Hospital,2.14,2262.02,112988.52,INR
S0000106,23-03-2025,PRD0210,HCP02305,REP0152,T118,87,91485.08,INV100105,Retail,14.14,4939.27,119297.55,INR
S0000107,13-07-2025,PRD0610,HCP09626,REP0396,T200,29,114851.14,INV100106,Retail,0.94,1158,106222.07,INR
S0000108,03-05-2025,PRD0670,HCP06942,REP0010,T183,58,163857.63,INV100107,Hospital,28.95,3659.17,179698.14,INR
S0000109,02-07-2025,PRD0298,HCP01452,REP0223,T151,39,183054.89,INV100108,Hospital,29.56,4238.31,46986.12,INR
S0000110,13-04-2025,PRD0393,HCP08166,REP0394,T167,96,18479.13,INV100109,Hospital,14.29,3134.87,1261.87,INR
S0000111,09-01-2025,PRD0107,HCP00693,REP0301,T103,50,132187.97,INV100110,Distributor,19.45,3698.79,64276.86,INR
S0000112,16-11-2025,PRD0273,HCP08918,REP0457,T135,46,104808.18,INV100111,Distributor,7.66,320.57,115672.16,INR
S0000113,03-06-2025,PRD0819,HCP08233,REP0067,T127,77,127510.21,INV100112,Hospital,7.94,2168.27,44832.1,INR
S0000114,17-08-2025,PRD0585,HCP08780,REP0115,T117,14,56850.36,INV100113,Hospital,23.45,829.92,107809.07,INR
S0000115,26-02-2025,PRD0541,HCP09327,REP0045,T082,76,19615.32,INV100114,Distributor,28.43,4829.28,137682.07,INR
S0000116,02-03-2025,PRD0547,HCP05109,REP0280,T144,2,147702.94,INV100115,Retail,9.76,4386.53,59511.91,INR
S0000117,16-11-2025,PRD0234,HCP08658,REP0141,T060,52,37240.37,INV100116,Distributor,29.11,2473.67,148774.46,INR
S0000118,07-10-2025,PRD0650,HCP09109,REP0004,T071,65,110722.57,INV100117,Distributor,24.62,54.11,158978.02,INR
S0000119,21-10-2025,PRD0222,HCP00681,REP0246,T156,28,9571.13,INV100118,Distributor,1.89,3594.53,73922.02,INR
S0000120,11-08-2025,PRD0602,HCP09590,REP0149,T118,27,158965.39,INV100119,Distributor,22.11,89.88,6029.06,INR
S0000121,06-10-2025,PRD0880,HCP05144,REP0090,T074,89,173469.03,INV100120,Hospital,9,744.27,117499.11,INR
S0000122,28-06-2025,PRD0974,HCP09707,REP0120,T074,41,45443.33,INV100121,Hospital,1.83,2365.5,105646.86,INR
S0000123,27-06-2025,PRD0618,HCP05138,REP0319,T163,73,39592.69,INV100122,Retail,20.44,4912.16,135922.19,INR
S0000124,06-03-2025,PRD0996,HCP06676,REP0071,T157,44,128007.19,INV100123,Hospital,17.93,1332.02,85339.03,INR
S0000125,03-03-2025,PRD0738,HCP09999,REP0151,T080,45,137935.42,INV100124,Retail,21.79,1893.17,178601.59,INR
S0000126,07-12-2025,PRD0158,HCP02312,REP0103,T036,68,26165.3,INV100125,Retail,2.28,796.99,30813.47,INR
S0000127,13-12-2025,PRD0401,HCP01045,REP0235,T123,27,85225.25,INV100126,Retail,20.78,1353.41,92160.38,INR
S0000128,25-10-2025,PRD0160,HCP08307,REP0143,T103,91,172589.2,INV100127,Retail,16.19,2955.61,83016.92,INR
S0000129,26-01-2025,PRD0139,HCP02809,REP0226,T081,85,28743.9,INV100128,Hospital,16.64,2442.83,119314.15,INR
S0000130,19-01-2025,PRD0268,HCP08570,REP0351,T113,24,115499.85,INV100129,Retail,26.78,3508.73,84764.53,INR
S0000131,26-02-2025,PRD0085,HCP01112,REP0458,T024,16,65638.33,INV100130,Retail,20.14,2053.19,35231.93,INR
S0000132,23-09-2025,PRD0274,HCP02633,REP0385,T098,70,92099.29,INV100131,Retail,27.48,418.97,51267.69,INR
S0000133,06-09-2025,PRD0240,HCP09840,REP0494,T197,53,73700.11,INV100132,Retail,27.42,1402.28,166460.51,INR
S0000134,05-01-2025,PRD0667,HCP04982,REP0027,T178,94,85064.09,INV100133,Hospital,20.62,4159.77,12757.73,INR
S0000135,20-12-2025,PRD0631,HCP09441,REP0183,T088,36,186219.7,INV100134,Retail,29.78,4457.5,16411.6,INR
S0000136,19-08-2025,PRD0639,HCP04906,REP0438,T001,80,126103.11,INV100135,Distributor,4.76,4901.45,67118.54,INR
S0000137,02-01-2025,PRD0746,HCP01408,REP0172,T168,50,108981.19,INV100136,Hospital,14.91,490.35,58807.22,INR
S0000138,27-01-2025,PRD0876,HCP05573,REP0478,T079,82,34709.79,INV100137,Retail,10.35,4573.86,58320.15,INR
S0000139,10-11-2025,PRD0065,HCP03294,REP0167,T194,70,164410.64,INV100138,Retail,22.15,4729.38,159075,INR
S0000140,23-06-2025,PRD0169,HCP01537,REP0201,T076,40,2415.92,INV100139,Hospital,4.85,2108.93,151200.98,INR
S0000141,28-12-2025,PRD0649,HCP09349,REP0290,T142,92,14277.52,INV100140,Hospital,25.64,3183.04,41790.85,INR
S0000142,30-04-2025,PRD0321,HCP00168,REP0410,T097,7,107343.52,INV100141,Retail,18.83,4177.61,199725.09,INR
S0000143,05-09-2025,PRD0577,HCP03909,REP0462,T120,74,93675.05,INV100142,Distributor,6.96,256.23,77065.98,INR
S0000144,22-01-2025,PRD0302,HCP03485,REP0011,T106,66,84513.03,INV100143,Distributor,17.16,4936.78,22463.17,INR
S0000145,08-06-2025,PRD0374,HCP00593,REP0339,T165,52,6908.72,INV100144,Hospital,25.48,4272.49,184907.67,INR
S0000146,19-12-2025,PRD0866,HCP01316,REP0259,T112,52,109465.28,INV100145,Hospital,13.21,1389.26,118978.1,INR
S0000147,01-12-2025,PRD0055,HCP01369,REP0212,T064,5,86514.63,INV100146,Retail,14.01,4346.72,32536.72,INR
S0000148,06-07-2025,PRD0832,HCP02117,REP0202,T162,18,30517.16,INV100147,Retail,13.44,1824.75,190449.26,INR
S0000149,09-12-2025,PRD0008,HCP06470,REP0498,T192,55,192531.99,INV100148,Hospital,23.46,1603.81,191703.32,INR
S0000150,07-07-2025,PRD0095,HCP07592,REP0033,T088,80,52197.09,INV100149,Retail,3.75,1799.82,130154.35,INR
S0000151,09-12-2025,PRD0516,HCP07835,REP0077,T019,10,12508.06,INV100150,Distributor,9.21,613.21,40745.47,INR
S0000152,11-08-2025,PRD0658,HCP00341,REP0330,T035,31,193525.63,INV100151,Retail,6.92,1008,19447.33,INR
S0000153,23-11-2025,PRD0746,HCP02118,REP0479,T029,97,83428.21,INV100152,Retail,27.7,4218.81,135700.39,INR
S0000154,03-01-2025,PRD0119,HCP05740,REP0414,T026,88,94593.2,INV100153,Distributor,18.03,2131.52,70349.55,INR
S0000155,23-11-2025,PRD0493,HCP08589,REP0035,T049,38,121133.01,INV100154,Hospital,12.67,596.82,175917.63,INR
S0000156,14-04-2025,PRD0702,HCP08057,REP0468,T161,19,117282.12,INV100155,Retail,11.75,3996.35,191658.63,INR
S0000157,22-01-2025,PRD0863,HCP00724,REP0100,T131,95,137454.84,INV100156,Hospital,29.61,1759.22,194226.21,INR
S0000158,28-05-2025,PRD0285,HCP02843,REP0068,T160,40,89252.69,INV100157,Retail,8.13,1198.85,95870.56,INR
S0000159,03-03-2025,PRD0532,HCP05470,REP0188,T078,39,162365.9,INV100158,Hospital,22.07,2480.3,165535.29,INR
S0000160,12-06-2025,PRD0615,HCP07107,REP0093,T058,83,20806.16,INV100159,Distributor,12.18,4163.05,193733.12,INR
S0000161,29-11-2025,PRD0221,HCP00907,REP0294,T160,68,162628.1,INV100160,Distributor,21.19,1767.2,77940.62,INR
S0000162,21-09-2025,PRD0325,HCP09224,REP0075,T200,42,113825.33,INV100161,Distributor,5.73,1105.16,157919.47,INR
S0000163,22-10-2025,PRD0932,HCP01837,REP0494,T102,85,133371.94,INV100162,Retail,2.65,2880.16,118422.84,INR
S0000164,12-11-2025,PRD0318,HCP09485,REP0453,T144,5,94971.17,INV100163,Hospital,19.54,4586.55,131136.35,INR
S0000165,29-10-2025,PRD0579,HCP07789,REP0017,T084,90,158647.23,INV100164,Retail,4.13,4413.69,147443.96,INR
S0000166,04-09-2025,PRD0697,HCP06401,REP0032,T016,35,87512.1,INV100165,Distributor,2.45,802.17,186159.12,INR
S0000167,27-08-2025,PRD0026,HCP06828,REP0177,T109,100,167036.03,INV100166,Hospital,3.72,192.72,15731.05,INR
S0000168,06-11-2025,PRD0048,HCP02373,REP0109,T019,90,39685.15,INV100167,Distributor,6.63,136.88,50529.73,INR
S0000169,22-11-2025,PRD0821,HCP07288,REP0417,T041,30,170020.41,INV100168,Retail,24.86,4393.65,84778.78,INR
S0000170,26-12-2025,PRD0493,HCP09934,REP0338,T096,96,128624.1,INV100169,Retail,0.88,3539.98,74247.97,INR
S0000171,04-09-2025,PRD0410,HCP08162,REP0008,T029,73,106194.2,INV100170,Distributor,19.31,3062.4,28667.75,INR
S0000172,10-03-2025,PRD0622,HCP00630,REP0125,T008,19,115683.93,INV100171,Distributor,0.24,4941.3,154744.51,INR
S0000173,13-09-2025,PRD0939,HCP03942,REP0472,T001,81,44844.07,INV100172,Distributor,10.34,2141.56,42755.34,INR
S0000174,03-07-2025,PRD0269,HCP09824,REP0351,T072,52,63754.77,INV100173,Distributor,24.83,1208.55,141149.57,INR
S0000175,30-04-2025,PRD0374,HCP03241,REP0096,T046,99,103468.31,INV100174,Distributor,21.8,2429.42,132048.13,INR
S0000176,19-06-2025,PRD0999,HCP03451,REP0055,T025,83,123459.62,INV100175,Distributor,7.8,4061.55,158907.26,INR
S0000177,15-07-2025,PRD0061,HCP05152,REP0409,T069,89,179724.18,INV100176,Retail,10.5,3525.73,126944.44,INR
S0000178,11-12-2025,PRD0085,HCP09314,REP0473,T057,42,82538.28,INV100177,Hospital,2.8,534.48,197342.53,INR
S0000179,31-10-2025,PRD0437,HCP07980,REP0379,T133,5,71807.86,INV100178,Hospital,19.47,2117.65,69916.4,INR
S0000180,17-03-2025,PRD0381,HCP09014,REP0243,T165,20,131127.71,INV100179,Retail,27.56,593.85,63918.36,INR
S0000181,26-11-2025,PRD0717,HCP07013,REP0269,T140,27,114365.44,INV100180,Retail,13.28,1212.63,159699.55,INR
S0000182,17-09-2025,PRD0186,HCP09148,REP0469,T049,2,79547.95,INV100181,Retail,12.79,1401.85,92093.6,INR
S0000183,01-04-2025,PRD0322,HCP05608,REP0298,T062,43,576.9,INV100182,Retail,10.69,1873.55,10839.37,INR
S0000184,06-01-2025,PRD0353,HCP02265,REP0306,T042,32,79628.05,INV100183,Distributor,5.29,1404.23,54572.35,INR
S0000185,06-09-2025,PRD0445,HCP05149,REP0042,T039,13,99367.85,INV100184,Distributor,18.32,451.82,101991.4,INR
S0000186,29-11-2025,PRD0313,HCP02886,REP0122,T063,5,146328.95,INV100185,Hospital,9.51,4830.11,144894.84,INR
S0000187,08-07-2025,PRD0596,HCP02990,REP0410,T093,89,63528.19,INV100186,Distributor,2.71,1256.31,106626.17,INR
S0000188,04-04-2025,PRD0440,HCP07534,REP0499,T091,89,198816.58,INV100187,Distributor,28.42,4149.33,124821.27,INR
S0000189,19-04-2025,PRD0771,HCP08882,REP0076,T047,60,121678.8,INV100188,Distributor,16.71,4527.38,116671.88,INR
S0000190,12-02-2025,PRD0720,HCP06046,REP0450,T020,64,108014.86,INV100189,Hospital,23.41,2746.9,11232.9,INR
S0000191,27-02-2025,PRD0400,HCP07857,REP0055,T180,97,160744.5,INV100190,Retail,26.97,1127.15,114548.03,INR
S0000192,20-12-2025,PRD0413,HCP05589,REP0052,T138,69,69105.41,INV100191,Retail,18.89,4969.12,99059.89,INR
S0000193,31-07-2025,PRD0839,HCP00644,REP0275,T200,34,142188.15,INV100192,Retail,6.59,4111.87,21012.07,INR
S0000194,13-02-2025,PRD0065,HCP03277,REP0357,T053,38,54957.6,INV100193,Retail,13.58,4770.63,91587.84,INR
S0000195,07-05-2025,PRD0365,HCP04580,REP0411,T101,51,96558,INV100194,Hospital,1.34,1009.79,89013.56,INR
S0000196,04-03-2025,PRD0239,HCP07607,REP0299,T195,56,101520.88,INV100195,Distributor,11.76,3550.28,141213.86,INR
S0000197,30-10-2025,PRD0188,HCP04550,REP0107,T195,6,22748.72,INV100196,Distributor,16.89,1203.99,15936.41,INR
S0000198,24-01-2025,PRD0999,HCP03991,REP0306,T172,60,21917.35,INV100197,Hospital,22.71,2383.81,149019.17,INR
S0000199,28-10-2025,PRD0346,HCP09581,REP0308,T177,79,175295.36,INV100198,Hospital,19.68,4689.42,13815.04,INR
S0000200,10-03-2025,PRD0459,HCP01784,REP0488,T103,51,170490.72,INV100199,Distributor,3.98,603.71,156433.86,INR
S0000201,02-01-2025,PRD0367,HCP00219,REP0074,T097,95,168693.08,INV100200,Retail,25.16,174.57,155712.39,INR
S0000202,02-08-2025,PRD0431,HCP02925,REP0046,T178,19,174550.81,INV100201,Hospital,15.71,2859.93,103811.06,INR
S0000203,24-01-2025,PRD0238,HCP02474,REP0380,T186,58,2695.46,INV100202,Distributor,14.65,3189.48,191336.39,INR
S0000204,21-12-2025,PRD0703,HCP03126,REP0326,T185,43,191467.84,INV100203,Distributor,1.43,4455.04,85863.2,INR
S0000205,07-11-2025,PRD0293,HCP08808,REP0119,T142,54,64961.94,INV100204,Distributor,16.51,3054.99,179160.51,INR
S0000206,31-03-2025,PRD0734,HCP08373,REP0261,T026,84,194144.76,INV100205,Hospital,1.79,3247.58,14488.96,INR
S0000207,02-10-2025,PRD0410,HCP07661,REP0311,T126,67,100885.52,INV100206,Retail,27.93,557.6,65149.53,INR
S0000208,01-10-2025,PRD0752,HCP08022,REP0375,T077,97,145604.32,INV100207,Distributor,16,401.92,48597.16,INR
S0000209,18-03-2025,PRD0730,HCP01421,REP0028,T126,96,197691.88,INV100208,Retail,26.27,862.81,182910.41,INR
S0000210,20-08-2025,PRD0903,HCP05109,REP0009,T034,51,101392.93,INV100209,Distributor,2.25,1202.06,51373.26,INR
S0000211,26-08-2025,PRD0698,HCP04036,REP0202,T102,12,141985.44,INV100210,Distributor,8.46,4233.68,98105.84,INR
